Key,File,Type,UsedInMainMenu,NoTranslate,english
{my_key},{xml_file},{type_of_object},{true/false/null},{true/false/null},"{Localized_Name_Eng}"
RunningShoesVS,items,Clothes,,,"Sonic Running Shoes"
RunningShoesVSDesc,items,Clothes,,,"for fast fast fast"
containerVS,items,Container,,,"VS Container"


Sonic's barrierPlasticWhite(Master),shapes,block,,,(S)Plastic Barrier (Master)
Sonic's barrierPlasticWhite(Master)Desc,shapes,block,,,This is the Master block for the coloured plastic barriers. also i have made them brighter and better looking.
Sonic's barrierPlasticWhite,shapes,block,,,(S)Plastic Barrier (White)
Sonic's barrierPlasticRed,shapes,block,,,(S)Plastic Barrier (Red)
Sonic's barrierPlasticOrange,shapes,block,,,(S)Plastic Barrier (Orange)
Sonic's barrierPlasticYellow,shapes,block,,,(S)Plastic Barrier (Yellow)
Sonic's barrierPlasticBlue,shapes,block,,,(S)Plastic Barrier (Blue)

Sonic's barrierPlasticDesc,shapes,block,,,Brighter and craftable plastic barrier.

Sonic's barrierConcrete,shapes,block,,,(S)Concrete Barrier
Sonic's barrierConcreteDesc,shapes,block,,,What do you want from me?. Its concrete.

Sonic's barrierMilitary,shapes,block,,,(S)Military Sand Barrier
Sonic's barrierMilitaryDesc,shapes,block,,,A sand barrier used by the military

Sonic's Roadworks Signs(Master),shapes,block,,,(S)Road Signs (Master)
Sonic's Roadworks Signs(Master)Desc,shapes,block,,,This is the Master Block for mainly roadworks signs.(More may be added later)

Sonic's GuardRail(Master),shapes,block,,,(S)GuardRail (Master)
Sonic's GuardRail(Master)Desc,shapes,block,,,This is the Master block for the guardrail blocks

Sonic's Roll Up Door 7x4(powered),shapes,block,,,(S)Roll Up Door 7x4(powered)
Sonic's Roll Up Door 7x4(powered)Desc,shapes,block,,,This is the 7x4 white roll up door that is now (Powered)

Sonic's BathRoom(Master),shapes,block,,,(S)Bathroom (Master)
Sonic's BathRoom(Master)Desc,shapes,block,,,This is the Master block for some of the bathroom blocks 

Sonic's plant(Master),shapes,block,,,(S)Plants (Master)
Sonic's plant(Master)Desc,shapes,block,,,This is the Master block for some plant blocks. (May add more later)
